ID,Nombre del Personaje,Número de Estrellas
1,Anteka,3
5,Bombadgy,3
6,Bullfango,3
8,Gajau,3
9,Gargwa,3
14,Kelbi,3
15,Kestodon,3
17,Popo,3
19,Remobra,3
20,Rhenoplos,3
25,Aknosom,3
26,Almudron,3
28,Arzuros,3
30,Barroth,3
32,Basarios,3
33,Bishaten,3
37,Great Baggi,3
38,Great Izuchi,3
39,Great Wroggi,3
40,Jyuratodus,3
41,Khezu,3
42,Kulu-Ya-Ku,3
44,Lagombi,3
48,Pukei-Pukei,3
53,Royal Ludroth,3
56,Tetranadon,3
60,Tobi-Kadachi,3
62,Volvidon,3
67,Garangolm,3
21,Slagtoth,3
27,Anjanath,4
29,Barioth,4
31,Bazelgeuse,4
34,Chameleos,4
35,Diablos,4
36,Goss Harag,4
47,Nargacuga,4
50,Rakna-Kadaki,4
51,Rathalos,4
52,Rathian,4
54,Somnacanth,4
59,Tigrex,4
64,Zinogre,4
65,Daimyo Hermitaur,4
68,Lunagaron,4
69,Astalos,4
70,Seregios,4
71,Gore Magala,4
72,Espinas,4
73,Gaismagorm,4
43,Kushala Daora,5
45,Magnamalo,5
46,Mizutsune,5
49,Rajang,5
55,Teostra,5
58,Narwa the Allmother,5
61,Crimson Glow Valstrax,5
63,Wind Serpent Ibushi,5
74,Shagaru Magala,5
75,Malzeno,5
